molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1311971,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(N2CCOCC2)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1520311,COc1ccc(/C=C/C(=O)Nc2ccc3c(c2)CCC3)cc1OC,Mitochondrial import inner membrane translocase subunit TIM10,IC50,64100,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1392335,O=C1OC(c2ccccc2)=N/C1=C\C=C\c1ccco1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1525481,O=C(Nc1ccc2[nH]c(-c3ccc(Br)o3)nc2c1)c1cccs1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,50980,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL3208072,CO/C(N)=C(C#N)/N=C/c1ccccc1Cl,Mitochondrial import inner membrane translocase subunit TIM10,IC50,77200,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1705584,CCCCn1c(N)c(N(CCC(C)C)C(=O)c2ccc3c(c2)OCO3)c(=O)[nH]c1=O,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1966622,O=C(N/N=C/C(Cl)=C\c1ccccc1)c1cccs1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,59100,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL3211245,CSc1nnc(C(C)(C)C)c(=O)n1/N=C/c1ccccc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,56600,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL3193018,O=C(N/N=C/c1coc2ccc(Cl)cc2c1=O)c1ccncc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,87100,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1323644,O=C(Nc1ccc(-c2cn3ccccc3n2)cc1)c1cccs1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
