molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1993650,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(F)cc1Cl,Mitochondrial import inner membrane translocase subunit TIM23,IC50,52700,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1993743,N/C(=N\OC(=O)c1ccc(Cl)cc1)c1ccc2nonc2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1972310,N/C(=N\OC(=O)c1ccc(S(=O)(=O)N2CCCCCC2)cc1)c1ccccc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,60100,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1351403,COc1ccccc1CC(=N)NOC(=O)COc1cccc2ccccc12,Mitochondrial import inner membrane translocase subunit TIM23,IC50,58500,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1972780,N/C(=N\OC(=O)c1ccc2ccccc2c1)c1ccc(I)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1993844,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1993846,O=C(Nc1nc2ccccc2s1)C1CCCN1S(=O)(=O)c1ccc(F)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,51130,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1973444,O=C(O)c1cccnc1SCc1cc(=O)n2cc(Br)ccc2n1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1353222,N#Cc1ccc(C2NC(c3ccccc3)=NO2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1974026,Cc1ccc(-c2cc(NC(=O)c3c(C)noc3C)nc(-c3ccccc3)c2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1507840,N=c1c2c(-c3ccccc3)c(-c3ccccc3)n(Cc3ccco3)c2ncn1CCCN1CCOCC1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1995255,O=c1cc(CSc2ccc(S(=O)(=O)N3CCOCC3)cn2)nc2ccc(Br)cn12,Mitochondrial import inner membrane translocase subunit TIM23,IC50,83100,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1974840,O=C(Nc1cc[nH]n1)c1cccc(OCc2cccnc2)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1995952,N/C(=N\OC(=O)c1ccc(Cl)cc1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,66200,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1995451,Cc1c2c(n(Cc3ccco3)c1C)N=CN1CCS(=O)(=O)N=C21,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1995649,CS(=O)(=O)Nc1ccc(/C(N)=N/OC(=O)c2ccccc2Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,69060,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1995310,O=S(=O)(Nc1ccc(-c2cn3c(n2)SCC3)cc1)c1cccnc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1997796,CCN1CCc2nc3sc(C(=O)Nc4cc(Cl)ccc4OC)c(N)c3cc2C1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1975135,N/C(=N\OC(=O)c1ccc(Cl)cc1)c1ccc(-c2csnn2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1975823,COc1ccc([N+](=O)[O-])cc1NS(=O)(=O)c1c(C)nc2scc(C)n2c1=O,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1997123,Cc1nc(SCc2cc(=O)n3cc(Br)ccc3n2)c(C#N)c(C)c1C,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1977479,CC(=O)Nc1ccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1999373,O=C(Nc1cc[nH]n1)c1ccc(Br)cc1Cl,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1368914,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(N2CCOCC2)c(Cl)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1976098,COc1ccc2c(C)cc(SCc3cc(=O)n4cc(C)ccc4n3)nc2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1976235,Cc1ccc2nc(NC(=O)C3CCCN3S(C)(=O)=O)sc2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,91900,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1977692,Cc1ccc2[nH]c(N3CCN(S(=O)(=O)C4CC4)CC3)nc2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,77270,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL2000599,N#Cc1c(-c2ccc([N+](=O)[O-])cc2)cc(-c2ccccc2)nc1N,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL2000042,O=c1cc(CSc2ccc(S(=O)(=O)N3CCCCC3)cn2)nc2ccc(Br)cn12,Mitochondrial import inner membrane translocase subunit TIM23,IC50,70200,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
